Job Title,Company,Date,Location,Skills,Link,Salary,Responsibilities
Software Engineer Intern,Avidbeam Technologies -,13 days ago,"Maadi, Cairo, Egypt",InternshipRemoteStudent · IT/Software Development · Computer Science · Software Engineering · Software Development · c++ · Python · Docker · Programming · AI · JavaScript,https://wuzzuf.net/internship/luimrbjskisw-software-engineer-intern-avidbeam-technologies-cairo-egypt,Confidential,"Senior Graduates in Computer Science, Software Engineering, or a related field. / Basic understanding of software development principles, data structures, and algorithms. / Proficiency in programming language. / Strong analytical, problem-solving, and communication skills"
Senior Full-Stack Engineer,Oliv -,2 months ago,"Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Golang · Go · Python · PostgreSQL · Docker · DevOps · Fintech · Payments,https://wuzzuf.net/jobs/p/c1uddf4aotdw-senior-full-stack-engineer-oliv-cairo-egypt,Confidential,"5+ years of professional software engineering experience / Strong backend fundamentals, built and operated production services at scale / Comfortable working across the stack: APIs, databases, frontend, infrastructure / Experience with relational databases (Postgres strongly preferred) / Solid understanding of distributed systems, concurrency, and data integrity / Strong communicator who thrives with autonomy in a hybrid setup"
Data Analyst,Zinox&Master -,20 days ago,"Obour City, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_only · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · Information Technology (IT) · Data Analysis · Power BI · Tableau · Python,https://wuzzuf.net/jobs/p/fzv9lnkvfsdn-data-analyst-zinoxmaster-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Data Science, Statistics, Business Analytics, or a related field / 2–3 years of strong hands-on experience in Data Analysis or a similar role / Advanced proficiency in SQL / Strong experience with Power BI or Tableau (including data modeling and DAX) / Solid understanding of ETL / ELT processes, data pipelines, and data workflows / Strong knowledge of data modeling / Experience in data transformation, data cleaning, and handling large datasets / Advanced Excel skills (Power Query, complex formulas, data manipulation) / Basic knowledge of Python for data analysis (Pandas, NumPy) / Experience working with APIs and integrating multiple data sources / Ability to calculate and analyze ROI (Return on Investment) to support business and marketing decisions"
Embedded Firmware Engineer,IMBoX  -,24 days ago,"New Cairo, Cairo, Egypt",InternshipHybridEntry Level · IT/Software Development · Engineering - Telecom/Technology · Embedded Systems · Software Engineering · C/C++ · Python · Embedded Linux · Microcontrollers · RTOS · Debugging,https://wuzzuf.net/internship/xmetvhb3shh7-embedded-firmware-engineer-imbox-cairo-egypt,Confidential,"Programming: Advanced proficiency in C/C++ and Python. / Embedded Linux: Hands-on experience with Linux/Ubuntu, including terminal proficiency and system configuration. / Communication Protocols: Solid understanding of UART, I2C, and SPI interfaces. / Problem Solving: Ability to read schematics and use basic lab tools (multimeters/logic analyzers) to debug hardware-software links. / Academic Level: Senior student or Fresh Graduate in Computer/Electronics Engineering."
Full Stack Developer,IMBoX  -,24 days ago,"New Cairo, Cairo, Egypt",Part TimeFreelance / ProjectHybridExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flutter · Python · Cross-Platform Development · REST API · Cloud Computing · Embedded Systems · IOT,https://wuzzuf.net/jobs/p/n0ylmn8cx0qb-full-stack-developer-imbox-cairo-egypt,Confidential,"Software Proficiency: Proven experience in Python for backend development and Flutter (or similar frameworks) for cross-platform Web and Mobile frontend. / Embedded & IoT (Preferred): Strong background in Embedded C/C++, Linux-based systems (Ubuntu), and hardware communication protocols (UART, SPI, I2C, or MQTT). / System Architecture: Solid understanding of RESTful APIs, cloud service integration, and database management to ensure seamless data flow. / Problem Solving: Ability to navigate the full product lifecycle, from high-level UI/UX to low-level hardware constraints and debugging. / Self-Management: Highly organized and capable of working independently in a Part-Time, Contract-to-Hire capacity with a results-oriented mindset. / Communication: Fluent in translating complex technical challenges into functional solutions that bridge the gap between software and physical lockers."
AI Engineer,Confidential -,27 days ago,"Sheraton, Cairo, Egypt",Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Algorithms · Software Development · Information Technology (IT) · Python · AI · Automation Engineering · Workflow Architect,https://wuzzuf.net/jobs/p/0jlu7uzk7kis-ai-engineer-cairo-egypt,Confidential,"Demonstrated experience in Automation Engineering and building automated systems. / Proven ability to act as a Workflow Architect, optimizing complex processes. / Strong background in implementing Business Process AI solutions. / Expert-level skills in Python programming. / Solid understanding and practical application of Machine Learning and Deep Learning algorithms. / Proficiency in Data Science techniques and methodologies. / Strong capabilities in System Design and architectural planning. / Experience with Project Management principles and practices. / Fundamental understanding of Data Structures and algorithms. / A minimum of 2-3 years of proven, hands-on experience in AI engineering, automation development, or related IT/Software Development roles. / Demonstrated success in delivering tangible results through AI and automation projects."
Software Engineer (Technical Content),"CC Global Group, LLC -",21 days ago,"New Cairo, Cairo, Egypt","Full TimeRemoteEntry Level · Writing/Editorial · IT/Software Development · Technical Writing · Software Engineering · Content Development · Programming (Python, JavaScript, etc.) · Machine Learning · Artificial Intelligence (AI)",https://wuzzuf.net/jobs/p/9rhh6bv7kdib-software-engineer-technical-content-cc-global-group-llc-cairo-egypt,Confidential,Not Specified
Lead AI Systems Architect & Automation Head,StorPros -,1 month ago,"San Jose, United States",Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · AI · Automation · Computer Engineering · Computer Science · Python · LMS · proxy management,https://wuzzuf.net/jobs/p/1bewjc5z6vkh-lead-ai-systems-architect-automation-head-storpros-san-jose-united-states,Confidential,"TECHNICAL STACK REQUIREMENTS / 1. The ""Scraper & Lead Gen"" Pillar (Data Acquisition) / Advanced Browser Automation: Expert in Playwright or Puppeteer (Stealth-plugins are mandatory). / Anti-Bot Evasion: Proven ability to bypass Cloudflare Turnstile, DataDome, and Akamai using JA3 fingerprinting, TLS header manipulation, and residential proxy rotation (Bright Data/Oxylabs). / Asynchronous Processing: High-concurrency scraping using Python Asyncio or Go to pull thousands of leads without bottlenecking. / 2. The ""Voice & Dialing"" Pillar (Infrastructure) / VoIP/SIP Engineering: Deep experience with Asterisk, FreePBX, or Kamailio. Ability to manage SIP Trunks and DID (Phone Number) pools. / Regulatory Compliance (US/Global): Knowledge of STIR/SHAKEN protocols and ""A-Level Attestation"" to prevent calls from being labeled ""Scam Likely."" / Low-Latency Audio: Expertise in WebRTC and Vapi/Retell/Telnyx to keep AI voice response time under 500ms. / • Server Management: Ability to deploy local or cloud-based ""Gateway Servers"" in specific regions to bypass regional AI dialing restrictions. / 3. The ""Training Brain"" & RAG Pillar (Intelligence) / Vector Databases: Implementation of Pinecone, Milvus, or Weaviate to store and retrieve successful sales call data. / Multimodal RAG: Building systems that don't just ""read"" text but ""analyze"" audio files to identify winning sales patterns from top reps. / Speech-to-Speech (S2S): Integration with GPT-4o Audio or ElevenLabs to create human-like voices with emotional intelligence (tone, laughter, pauses). / Diarization & Transcription: Using OpenAI Whisper to split recordings into ""Rep"" vs. ""Customer"" for automated performance grading. / 4. The ""Automation & CRM"" Pillar (Logic) / Agentic Frameworks: Proficiency in LangGraph, CrewAI, or AutoGen to build ""Agents"" that can autonomously update the CRM, book appointments, and handle customer service. / Airtable/CRM Mastery: Deep API integration with Airtable, HubSpot, or GoHighLevel using Webhooks and Python SDKs. / Mobile App Integration: Ability to build a lightweight Flutter or React Native app interface for D2D guys to access the ""Real-time Training Brain"" in the field."
DevOps Internship,3D Diagnostix -,1 month ago,"Cairo, Egypt","InternshipHybridStudent · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · CI/CD · Linux/Unix · Cloud Computing · Automation · Scripting (Python, Bash) · Version Control (Git) · Troubleshooting",https://wuzzuf.net/internship/4exa5ljvt7qr-devops-internship-3d-diagnostix-cairo-egypt,Confidential,Must be a 2nd or 3rd year student. / Ubuntu administration / Bash scripting / MySQL administration basics / Networking fundamentals / Git basics / VMware / Ansible / Terraform / AWS are pluses
Mid level Django Backend Developer,Software House Solution  -,1 month ago,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · RESTful APIs · SQL · Git · Team Collaboration · Problem Solving · HTML,https://wuzzuf.net/jobs/p/7azvejktmfk8-mid-level-django-backend-developer-software-house-solution-cairo-egypt,Confidential,"2-7 years of professional experience in Django development. / Proficiency in Python and Django framework. / Solid understanding of relational databases such as PostgreSQL or MySQL. / Experience with RESTful API design and integration. / Familiarity with front-end technologies like HTML, CSS, and JavaScript. / Strong problem-solving and analytical skills. / Ability to work effectively in an office-based, collaborative environment. / Excellent communication and teamwork abilities. / Experience with version control systems such as Git. / Attention to detail and commitment to delivering high-quality solutions."
Devops Engineer,Ayvo  -,1 month ago,"Makkah, Saudi Arabia",Full TimeRemoteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Docker · Cloud Infrastructure · Ansible · Kubernetes · Git · Jenkins · AWS Cloud · Python · Bash,https://wuzzuf.net/saudi/jobs/p/nzdjqqtkidvq-devops-engineer-ayvo-makkah-saudi-arabia,Confidential,"Bachelor’s degree in Computer Science, Information Technology, or a related field (or equivalent practical experience). / Minimum of 2–3 years of proven experience as a DevOps Engineer or in a related role. / Strong hands-on experience with CI/CD tools such as Jenkins and Git. / Solid experience with containerization and orchestration tools (Docker, Kubernetes). / Experience managing cloud environments, preferably AWS (Azure or GCP is a plus). / Hands-on experience with Infrastructure as Code (IaC) practices. / Proficiency in scripting and automation using Python, Bash, or PowerShell. / Experience with monitoring and logging tools. / Strong problem-solving skills and attention to detail. / Excellent communication and collaboration skills."
Senior Data Scientist,Egabi FSI  -,2 months ago,"Sheraton, Cairo, Egypt",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL,https://wuzzuf.net/jobs/p/o1a7fazksizo-senior-data-scientist-egabi-fsi-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Data Science, or a related field. / Proven experience as a Data Scientist or in a similar analytical role. / Proficiency in programming languages such as Python, R scripting, or SQL. / Experience with machine learning frameworks and libraries (e.g., TensorFlow, scikit-learn, PyTorch). / Strong knowledge of statistical analysis, data mining, and data visualization techniques. / Familiarity with data visualization tools such as Tableau, Power BI, or Matplotlib. / Excellent problem-solving skills, result-oriented, and attention to detail. / Strong communication skills with the ability to explain complex concepts to non-technical stakeholders. / Experience with big data technologies (e.g., Hadoop, Spark) is a plus. / Knowledge of cloud platforms (e.g., AWS, Google Cloud, Azure) is desirable. / Excellent English speaking and business writing"
Tech Lead / Principal Engineer – Full‑Stack & AI Systems,Makkook.AI -,2 months ago,"Maadi, Cairo, Egypt","Full TimeOn-siteSenior Management · 8 - 20 Yrs of Exp · Engineering - Telecom/Technology · Tech Lead / Principal Engineer – Full‑Stack & AI Systems · Backend (Mandatory): Python, Node.js, or .NET Core; REST APIs; database design (PostgreSQL, SQL Server); distributed systems; caching, queues, performance optimization Frontend (Mandatory): React/Next.js or Angular; data‑heavy dashboards; state management · Front-End Development · Mobile App Development · DevOps · Network Infrastructure · Software Testing · Quality Management · Data Integration",https://wuzzuf.net/jobs/p/blne8rf8kvkp-tech-lead-principal-engineer-fullstack-ai-systems-makkook-ai-cairo-egypt,Confidential,7+ years in software engineering / 2–3+ years in a technical leadership role / Proven experience building and scaling production systems
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,2 months ago,"Nasr City, Cairo, Egypt",Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Machine Learning · Python Programming · Teaching & Instruction · Curriculum Development · Statistical Analysis · Communication · AI Tools & Frameworks,https://wuzzuf.net/jobs/p/hif824t4axxr-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Computer Engineering, Software Engineering, Information Systems, or any related technical field (required) / 0-3 years of professional experience in data science, machine learning, or artificial intelligence."
Identity & Access Management (IAM) Specialist,Dewan Architects and Engineers  -,2 months ago,"New Cairo, Cairo, Egypt","Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Access Management · Access Control · Information Technology (IT) · SSOP · federation (SAML 2.0, OAuth 2.0, OpenID Connect) · Security · Ticketing Systems",https://wuzzuf.net/jobs/p/vwoat2aerxxx-identity-access-management-iam-specialist-dewan-architects-and-engineers-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Information Technology, Cybersecurity, or a related field (or equivalent experience). / 3+ years of hands-on experience in IAM / Access Management / Directory Services in an enterprise environment. / Strong working knowledge of Active Directory, Entra ID (Azure AD), group/role management, and identity lifecycle processes. / Experience with SSO and federation (SAML 2.0, OAuth 2.0, OpenID Connect) and MFA/conditional access policy design. / Familiarity with ticketing processes, change control, and maintaining clear support records in a fast-paced environment. / Strong troubleshooting and communication skills; ability to work independently and as part of a team. / Willingness to participate in occasional off-hours/weekend support for upgrades and initiatives."
Testing Engineer,Efada Technology -,2 months ago,"Cairo, Egypt",Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · Appium · Architecture · Design · AWS · Linux · Docker,https://wuzzuf.net/jobs/p/isndrwtncedg-testing-engineer-efada-technology-cairo-egypt,Confidential,"Comfortable working on Linux/Ubuntu / Very good understanding of Client-server architecture and Web architecture / Git & Linux essentials / Design Tests cases that are concise, atomic, durable, understandable, deterministic and accurat / (CADUDA) / HTTP, SOAP & REST APIs / Relational & NoSQL Databases / Python3 programming / Average understanding of following testing tools/framework / o Selen / o Appium / Zephyr Scale, OWASP Zed Attack Proxy (ZAP), Grafana K / Docker Containers basics (Building & Running), Kubernete / AWS Basics (Lambda Functions, S3, SQS, DynamoDB, ECS, API Gateway) / Gitlab-CI/GitHub Pipeline / Swagger/OAS3, JWT, OAuth2, OpenID Connect"
Senior Machine Learning Engineer,Solship -,8 days ago,"Cairo, Egypt",Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Computer Science · Software Engineering,https://wuzzuf.net/jobs/p/7j1nv1ifczfr-senior-machine-learning-engineer-solship-cairo-egypt,Confidential,Not Specified
Middle Automation QA Engineer.,Vertex Technologies  -,26 days ago,"Cairo, Egypt",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Test Automation · Selenium · Cypress · CI/CD · API Testing · Agile Methodologies · Bug Tracking · Quality Assurance,https://wuzzuf.net/jobs/p/uusoe8wzc6ov-middle-automation-qa-engineer-vertex-technologies-cairo-egypt,Confidential,At least 2 years of commercial experience as a QA automation engineer. / Proficiency in a test automation-capable programming language (Python\JS\TS\C#…). / Deep understanding of Agile methodology and software development principles. / Experience in developing end-to-end UI and\or API tests. / Experience in working with bug-tracking and test management systems. / Experience with Git. / English skills at the upper-intermediate or higher level.
